panel,x,category,y,run,pi_Y,kappa
a,0,Possibly missing,0.19965605924701255,B-uniform,0.5420954794661755,0.5333663675457
a,1,Possibly missing,0.2684968236971172,B-uniform,0.5420954794661755,0.5333663675457
a,2,Possibly missing,0.3315717724265986,B-uniform,0.5420954794661755,0.5333663675457
a,3,Possibly missing,0.37127113885465196,B-uniform,0.5420954794661755,0.5333663675457
a,4,Possibly missing,0.3895498110386493,B-uniform,0.5420954794661755,0.5333663675457
a,5,Possibly missing,0.396313148540141,B-uniform,0.5420954794661755,0.5333663675457
a,6,Possibly missing,0.39847439226557324,B-uniform,0.5420954794661755,0.5333663675457
a,7,Possibly missing,0.3990957248289291,B-uniform,0.5420954794661755,0.5333663675457
a,8,Possibly missing,0.39925990376893233,B-uniform,0.5420954794661755,0.5333663675457
a,9,Possibly missing,0.39930026611369157,B-uniform,0.5420954794661755,0.5333663675457
a,10,Possibly missing,0.3993095735545601,B-uniform,0.5420954794661755,0.5333663675457
a,0,Phantom,0.19965605924701255,B-uniform,0.5420954794661755,0.5333663675457
a,1,Phantom,0.13081529479690798,B-uniform,0.5420954794661755,0.5333663675457
a,2,Phantom,0.06774034606742653,B-uniform,0.5420954794661755,0.5333663675457
a,3,Phantom,0.028040979639373166,B-uniform,0.5420954794661755,0.5333663675457
a,4,Phantom,0.009762307455375867,B-uniform,0.5420954794661755,0.5333663675457
a,5,Phantom,0.002998969953884131,B-uniform,0.5420954794661755,0.5333663675457
a,6,Phantom,8.377262284518682e-4,B-uniform,0.5420954794661755,0.5333663675457
a,7,Phantom,2.1639366509604464e-4,B-uniform,0.5420954794661755,0.5333663675457
a,8,Phantom,5.2214725092764265e-5,B-uniform,0.5420954794661755,0.5333663675457
a,9,Phantom,1.1852380333558038e-5,B-uniform,0.5420954794661755,0.5333663675457
a,10,Phantom,2.5449394650481046e-6,B-uniform,0.5420954794661755,0.5333663675457
a,0,Recurrent,0.07139168048607519,B-uniform,0.5420954794661755,0.5333663675457
a,1,Recurrent,0.09600730136216724,B-uniform,0.5420954794661755,0.5333663675457
