from,to,w,run,share
locally absent,locally absent,53.247563016474686,B-uniform,0.39152619865054916
locally absent,locally unique,2.2088861869682708,B-uniform,0.016241810198296108
locally absent,model-elusive,19.039908029193437,B-uniform,0.1399993237440694
locally absent,phantom,6.177435639734862,B-uniform,0.0454223208804034
locally absent,possibly forbidden,29.747963684668733,B-uniform,0.21873502709315246
locally absent,possibly missing,11.005788768917524,B-uniform,0.08092491741851121
locally absent,recurrent,3.9353764581505004,B-uniform,0.028936591604047796
locally absent,weakly-supported,10.637078215891991,B-uniform,0.07821381041097053
locally unique,locally absent,1.291912904595754,B-uniform,0.011852411968768385
locally unique,locally unique,35.098391200897275,B-uniform,0.32200358899905757
locally unique,model-elusive,17.0611398851195,B-uniform,0.15652421912953668
locally unique,phantom,2.6577394493164994,B-uniform,0.024382930727674307
locally unique,possibly forbidden,1.6832030672613818,B-uniform,0.015442229974875063
locally unique,possibly missing,2.0399011613089018,B-uniform,0.018714689553292675
locally unique,recurrent,26.939152740949616,B-uniform,0.24714819028394144
locally unique,weakly-supported,22.228559590551072,B-uniform,0.20393173936285386
model-elusive,locally absent,2.363258173226956,B-uniform,0.03692590895667119
model-elusive,locally unique,3.96061493982906,B-uniform,0.06188460843482906
model-elusive,model-elusive,31.209439997577363,B-uniform,0.4876474999621463
model-elusive,phantom,0.29990783648416575,B-uniform,0.00468605994506509
model-elusive,possibly forbidden,1.2984305740687179,B-uniform,0.020287977719823717
model-elusive,possibly missing,0.5435081985952271,B-uniform,0.008492315603050424
model-elusive,recurrent,7.177627355494222,B-uniform,0.11215042742959722
model-elusive,weakly-supported,17.147212924724293,B-uniform,0.2679252019488171
phantom,locally absent,16.675220631987173,B-uniform,0.1603386599229536
phantom,locally unique,7.729168317377017,B-uniform,0.07431892612862516
phantom,model-elusive,5.962614046793325,B-uniform,0.05733282737301274
phantom,phantom,21.61561791230494,B-uniform,0.20784247992600904
phantom,possibly forbidden,21.72575443373533,B-uniform,0.20890148493976277
phantom,possibly missing,16.590687282404637,B-uniform,0.15952583925389074
phantom,recurrent,5.932387176110939,B-uniform,0.0570421843856821
phantom,weakly-supported,7.768550199286637,B-uniform,0.07469759807006382
possibly forbidden,locally absent,261.04992731661156,B-uniform,0.2774175635670686
possibly forbidden,locally unique,18.608199500513415,B-uniform,0.019774919766751768
possibly forbidden,model-elusive,93.34448988018654,B-uniform,0.09919711995769027
possibly forbidden,phantom,52.04023433345831,B-uniform,0.055303118313983324
possibly forbidden,possibly forbidden,340.11583660523297,B-uniform,0.3614408465517885
possibly forbidden,possibly missing,39.94256640879894,B-uniform,0.04244693560977571
possibly forbidden,recurrent,14.282396184745302,B-uniform,0.015177891801004572
possibly forbidden,weakly-supported,121.61634977045291,B-uniform,0.12924160443193722
possibly missing,locally absent,11.259469557048151,B-uniform,0.22077391288329706
possibly missing,locally unique,2.6091616126866115,B-uniform,0.051160031621306105
possibly missing,model-elusive,4.026085940447108,B-uniform,0.07894286157739427
possibly missing,phantom,7.296857588738177,B-uniform,0.1430756389948662
possibly missing,possibly forbidden,6.47076387011339,B-uniform,0.1268777229433998
possibly missing,possibly missing,12.53994065027371,B-uniform,0.24588118922105315
possibly missing,recurrent,4.483948243770029,B-uniform,0.08792055379941233
possibly missing,weakly-supported,2.313772536922827,B-uniform,0.045368088959271115
recurrent,locally absent,1.9940779722034516,B-uniform,0.01719032734658148
recurrent,locally unique,22.74780396570824,B-uniform,0.19610175832507104
recurrent,model-elusive,26.334006808488333,B-uniform,0.22701730007317528
recurrent,phantom,1.7225215719698146,B-uniform,0.014849323896291506
recurrent,possibly forbidden,1.025955355022816,B-uniform,0.00884444271571393
recurrent,possibly missing,3.422947518858727,B-uniform,0.029508168266023507
recurrent,recurrent,45.20381074523357,B-uniform,0.3896880236658066
recurrent,weakly-supported,13.548876062515053,B-uniform,0.11680065571133666
weakly-supported,locally absent,2.6027931744502886,B-uniform,0.02526983664514843
weakly-supported,locally unique,9.387868531341685,B-uniform,0.09114435467322024
weakly-supported,model-elusive,34.372764822893124,B-uniform,0.33371616332905946
weakly-supported,phantom,0.7108732818530409,B-uniform,0.006901682348087776
